1,WARR-90Z-11,WARRANT ORDER - VIOLATE EPO/PO/PPO,2025-07-27,1145,5900 COVE LANDING RD,BRKE,VA,22015
4,5-1-1,5-1-1 DRUNK IN PUBLIC OR PROFANE,2025-07-27,1228,2800 MEADOW VIEW RD,FLCH,VA,22042
4,PUB-90Z-6,PUBLIC SAFETY - OBSTRUCTION OF JUSTICE (90Z),2025-07-27,1228,2800 MEADOW VIEW RD,FLCH,VA,22042
1,SERV-2,SERVICE - CIVIL DISPUTE,2025-07-27,1230,8100 OAK CREST LN,FXST,VA,22039
1,SERV-6,SERVICE - ANIMAL DESTROYED BY SERVICE WEAPON,2025-07-27,1237,2400 CURIE CT,HRND,VA,20171
1,LARC-23-3,LARCENY - SHOPLIFTING (23C),2025-07-27,1247,6800 COMMERCE ST,SFLD,VA,22150
1,DEST-290-7,DESTRUCTION - GRAFFITI (290),2025-07-27,1300,4700 FRANCONIA RD,ALEX,VA,22310
1,ALRM-5,ALARM - RESIDENTIAL BURGLARY,2025-07-27,1305,9800 ARNON CHAPEL RD,GTFL,VA,22066
1,SERV-47,SERVICE - NON-FATAL OVERDOSE (NFO),2025-07-27,1312,3400 EXECUTIVE AVE,FLCH,VA,22042
1,LARC-23-3,LARCENY - SHOPLIFTING (23C),2025-07-27,1315,3400 SOUTH JEFFERSON ST,FLCH,VA,22041
1,ANML-90Z-1,ANIMAL - RUNNING AT LARGE/UNRESTRICTED (90Z),2025-07-27,1322,SANIBEL DR/SOUTH LAKES DR,RSTN,VA,20191
1,ANML-90Z-3,ANIMAL - LICENSE VIOLATION (90Z),2025-07-27,1322,SANIBEL DR/SOUTH LAKES DR,RSTN,VA,20191
1,LARC-23-9,LARCENY - ALL OTHER LARCENY (23H),2025-07-27,1325,7400 VERNON SQUARE DR;102,ALEX,VA,22306
1,SERV-8,SERVICE - LOST/FOUND PROPERTY,2025-07-27,1336,6600 RICHMOND HWY,ALEX,VA,22306
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED (13B),2025-07-27,1339,7900 OAK ST,DUNN,VA,22027
1,SERV-1,SERVICE - POLICE SERVICE,2025-07-27,1354,LEE CHAPEL RD/FAIRFAX COUNTY PKWY SB,FXST,VA,22039
1,LARC-23-3,LARCENY - SHOPLIFTING (23C),2025-07-27,1400,13000 ROUTE 50,FRFX,VA,22033
1,ANML-90Z-2,ANIMAL - RABIES CERTIFICATE VIOLATION (90Z),2025-07-27,1409,7700 TEA TABLE DR,LRTN,VA,22079
1,ANML-90Z-6,ANIMAL - ANIMAL BITE - DOMESTIC (90Z),2025-07-27,1409,7700 TEA TABLE DR,LRTN,VA,22079
1,TRES-90J-1,TRESPASSING - PRIVATE PROPERTY (90J),2025-07-27,1426,2300 HUNTINGTON AVE,ALEX,VA,22303
4,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED (13B),2025-07-27,1427,5900 SEMINARY RD,FLCH,VA,22041
